Year,Mo,Dy,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Country,Area,Region,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Deaths,Death Description,Damage ($Mil),Damage Description,Houses Destroyed Description
1859.0,12.0,9.0,3.0,1.0,7.0,EL SALVADOR,,88.0,EL SALVADOR,13.7,-89.8,0.92,1.0,1.0,,,,1.0,1.0
1859.0,12.0,25.0,3.0,0.0,7.2,INDONESIA,,83.0,N. MOLUCCAS ISLANDS,1.37,125.1,0.92,1.0,0.6,,,,,
1860.0,4.0,8.0,4.0,3.0,7.5,HAITI,,74.0,ANSE-A-VEAU,18.52,-73.35,0.92,4.0,0.6,,,,,
1860.0,4.0,17.0,3.0,1.0,7.2,HAITI,,74.0,PETIT TROU NIPPES,18.55,-73.5,0.92,1.0,0.6,,,,,
1860.0,4.0,23.0,3.0,1.0,7.2,PERU,,89.0,CENTRAL PERU,-12.1,-77.1,0.92,1.0,0.6,,,,,
1860.0,10.0,6.0,3.0,1.0,7.2,INDONESIA,,83.0,CERAM SEA,-1.25,128.5,0.92,1.0,0.6,,,,,
1861.0,2.0,16.0,4.0,1.0,8.5,INDONESIA,,60.0,SW. SUMATRA,-1.0,97.5,7.0,17.0,0.6,1105.0,4.0,,2.0,
1861.0,3.0,9.0,4.0,1.0,7.0,INDONESIA,,60.0,SW. SUMATRA,0.009,98.0,0.92,4.0,0.6,950.0,3.0,,1.0,1.0
1861.0,4.0,26.0,4.0,1.0,7.0,INDONESIA,,60.0,SW. SUMATRA,1.0,97.5,0.92,1.0,0.6,,,,,
1861.0,6.0,17.0,3.0,1.0,6.8,INDONESIA,,60.0,SW. SUMATRA,1.0,97.5,0.92,1.0,0.6,,,,,
1861.0,9.0,25.0,3.0,1.0,6.5,INDONESIA,,60.0,SW. SUMATRA,-1.5,100.0,0.92,1.0,0.6,,,,1.0,1.0
1861.0,10.0,20.0,4.0,1.0,7.4,JAPAN,,85.0,OFF MIYAGI,38.5,142.0,3.9,4.0,2.0,,,,1.0,
1861.0,12.0,26.0,4.0,3.0,7.3,GREECE,,50.0,CORINTH GULF,38.2,22.2,2.1,6.0,1.1,,,,2.0,3.0
1862.0,1.0,1.0,3.0,1.0,7.2,GREECE,,50.0,IONIAN SEA,38.25,22.25,0.92,0.0,0.6,,,,1.0,
1862.0,5.0,27.0,4.0,3.0,5.9,USA,CA,88.0,S. CALIFORNIA,32.7,-117.2,1.2,1.0,0.3,,,,,
1863.0,9.0,20.0,3.0,1.0,6.4,JAPAN,,85.0,NW. HOKKAIDO ISLAND,44.6,141.5,0.92,1.0,0.6,,,,,
1864.0,5.0,23.0,3.0,1.0,7.8,INDONESIA,,83.0,NW. IRIAN JAYA,-1.0,135.0,3.0,2.0,3.6,250.0,3.0,,3.0,3.0
1864.0,6.0,27.0,3.0,1.0,7.2,CANADA,NL,75.0,"SW AVALON PENINSULA, NEWFOUNDLAND",46.5,-53.7,0.92,1.0,0.6,,,,,
1865.0,1.0,8.0,3.0,1.0,7.2,PERU,,89.0,CENTRAL PERU,-12.0,-77.1,2.0,1.0,1.0,5.0,1.0,,1.0,1.0
1865.0,10.0,8.0,3.0,3.0,6.3,USA,CA,88.0,N. CALIFORNIA,37.2,-121.9,0.92,1.0,0.6,,,,,
1865.0,11.0,18.0,4.0,1.0,8.0,TONGA,,81.0,TONGA ISLANDS,-19.5,-173.5,1.25,4.0,0.6,,,,1.0,1.0
1866.0,1.0,2.0,3.0,1.0,6.6,ALBANIA,,50.0,ALBANIAN COASTS,40.3,19.4,0.92,1.0,0.6,,,,,
1866.0,1.0,6.0,3.0,0.0,7.2,ALBANIA,,50.0,ALBANIAN COASTS,,,0.92,0.0,0.6,,,,,
1866.0,2.0,6.0,3.0,1.0,6.8,GREECE,,50.0,"S. COASTS PELOPONNESUS, GREECE",36.0,23.0,8.6,1.0,0.6,,,,1.0,1.0
1866.0,3.0,6.0,3.0,1.0,6.3,ALBANIA,,50.0,BAY OF VLORE,40.4,19.4,0.92,2.0,0.6,,,,,
1867.0,2.0,4.0,3.0,1.0,7.4,GREECE,,50.0,IONIAN SEA,38.39,20.52,0.92,0.0,0.6,,,,,
1867.0,3.0,7.0,3.0,1.0,7.0,GREECE,,50.0,LESBOS,39.2,26.4,0.92,1.0,0.6,,,,,
1867.0,5.0,7.0,4.0,1.0,7.2,NORWAY,,73.0,WESTERN NORWAY,58.667,6.167,0.92,0.0,0.6,,,,,
1867.0,9.0,20.0,4.0,1.0,7.1,GREECE,,50.0,"PELOPONNESUS, GREECE",36.4,22.2,6.0,24.0,0.6,,2.0,,2.0,2.0
1867.0,11.0,18.0,4.0,1.0,7.3,USA TERRITORY,VI,74.0,VIRGIN ISLANDS,18.2,-65.0,15.2,61.0,2.3,24.0,1.0,,3.0,
1867.0,12.0,18.0,4.0,1.0,7.0,TAIWAN,,84.0,E. CHINA SEA,25.34,121.91,15.0,12.0,2.0,,3.0,,2.0,2.0
1868.0,3.0,17.0,3.0,1.0,7.2,USA TERRITORY,VI,74.0,VIRGIN ISLANDS,18.1,-65.1,1.5,6.0,-0.7,,,,,
1868.0,4.0,3.0,4.0,1.0,7.9,USA,HI,80.0,HAWAII,19.0,-155.5,13.7,28.0,4.3,47.0,1.0,,2.0,3.0
1868.0,5.0,22.0,3.0,1.0,7.2,ITALY,,50.0,LAKE GARDA,45.7,10.7,0.92,0.0,0.6,,,,,
1868.0,8.0,12.0,3.0,1.0,7.2,MEXICO,,88.0,S. MEXICO,16.8,-99.9,0.92,1.0,0.6,,,,,
1868.0,8.0,13.0,4.0,1.0,8.5,CHILE,,89.0,NORTHERN CHILE,-18.6,-71.0,18.0,123.0,4.2,25000.0,4.0,,4.0,
1868.0,8.0,14.0,4.0,1.0,8.5,CHILE,,89.0,NORTHERN CHILE,-18.6,-71.0,0.17,1.0,0.6,,,,,
1868.0,8.0,19.0,3.0,0.0,7.2,INDIA,,60.0,ANDAMAN ISLANDS,11.67,92.73,4.0,1.0,2.0,,,,2.0,
1868.0,10.0,18.0,4.0,1.0,7.6,NEW ZEALAND,,81.0,NEW ZEALAND,-40.2,173.0,3.0,5.0,0.6,,,,,
1868.0,10.0,21.0,3.0,3.0,6.8,USA,CA,88.0,N. CALIFORNIA,37.7,-122.1,4.5,4.0,2.2,,,,,
1869.0,3.0,2.0,3.0,0.0,7.2,NEW ZEALAND,,81.0,NEW ZEALAND,-42.719,170.961,0.6,3.0,0.6,,,,,
1869.0,6.0,1.0,3.0,0.0,7.2,USA,CA,88.0,N. CALIFORNIA,,,0.92,1.0,0.6,,,,,
1869.0,7.0,24.0,3.0,0.0,7.2,USA,HI,80.0,OFF COAST OF HAWAII,20.0,-155.0,8.2,8.0,3.2,,,,2.0,2.0
1869.0,8.0,9.0,3.0,1.0,7.2,CHILE,,89.0,CENTRAL CHILE,-30.0,-71.4,3.0,1.0,0.6,,,,,
1869.0,8.0,24.0,3.0,1.0,7.5,CHILE,,89.0,NORTHERN CHILE,-19.6,-70.23,2.0,3.0,0.6,,,,1.0,
1869.0,10.0,11.0,3.0,1.0,5.6,UKRAINE,,40.0,BLACK SEA,44.75,35.0,1.0,2.0,0.6,,,,1.0,
1870.0,5.0,11.0,3.0,1.0,7.9,MEXICO,,88.0,"PUERTO ANGEL, MEXICO",15.4,-96.3,0.92,1.0,0.6,,,,,
1870.0,6.0,24.0,3.0,1.0,7.2,EGYPT,,50.0,ALEXANDRIA,36.0,26.0,0.92,1.0,0.6,,,,,
1870.0,10.0,28.0,3.0,1.0,7.2,ITALY,,50.0,TYRRHENIAN SEA,39.28,16.28,0.92,0.0,0.6,,,,,
1871.0,3.0,3.0,4.0,6.0,7.2,INDONESIA,,83.0,RUANG,2.28,125.425,25.0,5.0,4.6,400.0,3.0,,2.0,2.0
1872.0,1.0,26.0,3.0,1.0,6.0,PHILIPPINES,,84.0,PHILIPPINES,16.0,119.0,0.92,1.0,0.6,,,,,
1872.0,3.0,14.0,4.0,1.0,7.4,JAPAN,,85.0,SW. HONSHU ISLAND,34.9,132.0,3.0,12.0,1.5,,1.0,,,
1872.0,4.0,3.0,3.0,1.0,7.3,TURKEY,,50.0,SAMANDAG (SUAIDIYA),36.2,36.2,0.92,1.0,0.6,,,,,
1872.0,8.0,23.0,4.0,1.0,7.2,USA,AK,87.0,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.2,-168.5,1.3,8.0,1.6,,,,,
1872.0,9.0,16.0,3.0,0.0,7.2,USA,CA,88.0,"SAN FRANCISCO, N. CALIFORNIA",,,0.1,2.0,0.6,,,,,
1872.0,1.0,1.0,4.0,1.0,7.2,ICELAND,,73.0,ICELAND,,,0.92,0.0,0.6,,,,,
1872.0,1.0,1.0,3.0,1.0,7.2,JAPAN,,85.0,BONIN ISLANDS [CHICHIJIMA ISLAND],27.07,142.21,0.92,0.0,0.6,,,,1.0,
1873.0,11.0,23.0,3.0,3.0,6.7,USA,CA,88.0,N. CALIFORNIA,42.0,-124.0,3.05,1.0,0.6,,,,,
1873.0,1.0,1.0,3.0,1.0,8.0,PAPUA NEW GUINEA,,82.0,MACLAY COAST,-5.5,146.0,0.92,1.0,1.0,,,,2.0,2.0
1874.0,5.0,1.0,3.0,8.0,7.2,USA,AK,87.0,"LITUYA BAY, AK",58.64,-137.57,24.38,1.0,0.6,,,,,
1875.0,3.0,18.0,4.0,1.0,7.2,ITALY,,50.0,ADRIATIC SEA,44.2,12.4,0.92,4.0,0.6,,,,,
1875.0,3.0,28.0,3.0,1.0,8.0,NEW CALEDONIA,,82.0,"LIFOU ISLAND, LOYALTY ISLANDS",-20.0,168.5,4.0,5.0,2.0,25.0,1.0,,3.0,3.0
1876.0,5.0,28.0,3.0,1.0,6.8,INDONESIA,,83.0,CERAM SEA,-3.0,127.25,0.3,1.0,0.6,,,,,
1876.0,12.0,23.0,3.0,0.0,7.2,ITALY,,50.0,LIGURIAN SEA,,,0.92,0.0,0.6,,,,,
1877.0,5.0,10.0,4.0,1.0,8.3,CHILE,,89.0,NORTHERN CHILE,-21.5,-70.5,18.0,107.0,4.4,2282.0,4.0,,3.0,3.0
1877.0,8.0,23.0,3.0,1.0,7.2,CHILE,,89.0,NORTHERN CHILE,-20.2,-70.1,1.0,1.0,0.6,,,,,
1878.0,1.0,10.0,3.0,1.0,7.5,VANUATU,,82.0,TANNA ISLAND,-19.0,168.5,12.0,1.0,3.6,,,,1.0,
1878.0,1.0,20.0,3.0,1.0,7.2,USA,AK,87.0,"ALEUTIAN ISLANDS, AK",,,3.6,5.0,1.6,,,,1.0,1.0
1878.0,1.0,27.0,3.0,0.0,7.2,PERU,,89.0,CENTRAL PERU,-12.0,-77.0,0.92,1.0,0.6,5.0,1.0,,,
1878.0,2.0,4.0,3.0,1.0,7.2,PAPUA NEW GUINEA,,82.0,BISMARCK SEA,-4.25,152.25,0.92,1.0,2.0,,,,,
1878.0,2.0,11.0,3.0,1.0,8.0,VANUATU,,82.0,TANNA ISLAND,-19.0,168.5,0.92,1.0,1.0,,,,,
1878.0,11.0,22.0,3.0,8.0,7.2,USA,CA,88.0,S. CALIFORNIA,35.18,-120.731,1.0,9.0,2.0,1.0,1.0,,1.0,
1879.0,7.0,11.0,3.0,1.0,5.9,EGYPT,,30.0,GULF OF SUEZ,29.0,33.0,0.92,1.0,0.6,,,,,
1880.0,4.0,14.0,3.0,8.0,7.2,NORWAY,,73.0,WESTERN NORWAY,62.083,7.117,0.92,0.0,0.6,,,,,
1880.0,7.0,18.0,4.0,3.0,7.5,PHILIPPINES,,84.0,E. LUZON ISLAND,16.0,121.85,0.92,2.0,0.6,,,,,
1880.0,9.0,8.0,3.0,1.0,7.0,NEW ZEALAND,,81.0,GISBORNE,-38.85,178.85,0.92,1.0,0.6,,,,,
1880.0,9.0,29.0,3.0,1.0,6.3,USA,AK,87.0,"CHIRIKOF ISLAND, AK",55.8,-155.6,0.92,2.0,0.6,,,,,
1880.0,10.0,26.0,3.0,3.0,6.3,USA,AK,87.0,"SITKA, AK",57.0,-136.0,1.8,2.0,5.9,,,,,
1881.0,4.0,3.0,3.0,1.0,6.5,GREECE,,50.0,"CHIOS ISLAND, AEGEAN ISLANDS",38.2,26.2,0.92,0.0,0.6,,,,,
1881.0,6.0,29.0,3.0,1.0,7.2,NEW ZEALAND,,81.0,PIGEON BAY (BANKS PENINSULA),-43.69,172.9,3.0,2.0,0.6,,,,1.0,
1881.0,7.0,14.0,3.0,1.0,7.2,CHILE,,89.0,NORTHERN CHILE,-20.2,-70.1,1.4,1.0,0.5,,,,,
1881.0,12.0,31.0,3.0,1.0,7.9,INDIA,,60.0,BAY OF BENGAL: W OF CAR NICOBAR IS,8.52,92.43,1.22,11.0,0.3,,,,,
1882.0,1.0,1.0,3.0,1.0,7.2,SRI LANKA,,60.0,SRI LANKA,8.567,81.233,0.92,1.0,0.6,,,,,
1882.0,9.0,7.0,4.0,3.0,7.9,PANAMA,,74.0,SAN BLAS ARCHIPELAGO,10.0,-79.0,3.0,3.0,0.6,100.0,2.0,,3.0,3.0
1882.0,10.0,10.0,3.0,1.0,7.5,INDONESIA,,83.0,BANDA SEA,-4.5,129.9,0.92,1.0,0.6,,,,,
1883.0,3.0,12.0,3.0,0.0,7.2,MEXICO,,88.0,S. MEXICO,,,0.92,2.0,0.6,,,,,
1883.0,6.0,27.0,3.0,1.0,7.2,GREECE,,50.0,IONIAN ISLANDS,39.5,20.0,0.92,0.0,0.6,,,,,
1883.0,8.0,27.0,4.0,6.0,7.2,INDONESIA,,60.0,KRAKATAU,-6.102,105.423,41.0,102.0,5.1,34417.0,4.0,,4.0,4.0
1883.0,10.0,6.0,4.0,7.0,7.2,USA,AK,87.0,"COOK INLET, AK",59.4,-153.4,9.14,3.0,3.2,,1.0,,1.0,1.0
1884.0,7.0,20.0,4.0,1.0,6.2,ERITREA,,30.0,OFFSHORE MASSAWA,15.7,39.6,0.92,1.0,0.6,,,,,
1885.0,1.0,16.0,3.0,0.0,7.2,FRANCE,,50.0,LIGURIAN SEA,,,0.92,0.0,0.6,,,,,
1885.0,4.0,30.0,3.0,1.0,7.3,INDONESIA,,83.0,MOLUCCAS ISLANDS,-2.5,127.5,1.2,2.0,0.6,,,,1.0,1.0
1885.0,8.0,3.0,3.0,0.0,7.2,INDONESIA,,83.0,SULAWESI ISLAND,1.1,124.3,0.92,2.0,0.6,,,,,
1885.0,11.0,12.0,3.0,1.0,7.2,CHILE,,89.0,NORTHERN CHILE,-20.2,-70.1,1.0,1.0,0.6,,,,,
1886.0,8.0,27.0,3.0,1.0,7.5,GREECE,,50.0,IONIAN SEA,37.1,21.5,0.92,3.0,0.6,,,,,
1886.0,9.0,1.0,4.0,1.0,7.3,USA,SC,75.0,"CHARLESTON, SC",32.9,-80.0,0.92,3.0,0.6,,,,,
1886.0,12.0,1.0,4.0,8.0,7.2,NEW ZEALAND,,81.0,"JACKSON BAY, SOUTH ISLAND",-43.957,168.616,0.92,0.0,0.6,,,,,
1887.0,2.0,23.0,3.0,1.0,7.2,ITALY,,50.0,LIGURIAN SEA,43.7,8.1,2.0,0.0,0.6,,,,,
1887.0,9.0,23.0,4.0,1.0,7.2,HAITI,,74.0,MOLE SAINT-NICOLAS,19.7,-74.4,0.92,4.0,0.6,,,,,
1888.0,3.0,13.0,4.0,7.0,7.2,PAPUA NEW GUINEA,,82.0,RITTER ISLAND,-5.52,148.121,15.0,12.0,3.4,,4.0,,3.0,3.0
1888.0,4.0,23.0,4.0,8.0,7.2,NORWAY,,73.0,MID-NORWAY,63.433,10.383,7.0,2.0,0.6,,,,2.0,
1888.0,9.0,9.0,4.0,3.0,6.1,GREECE,,50.0,GULF OF CORINTH,38.2,22.1,0.92,1.0,0.6,,,,,
1889.0,5.0,25.0,3.0,1.0,6.8,PHILIPPINES,,84.0,MINDORO ISLAND,13.5,121.0,0.1,1.0,0.6,,,,,
1889.0,9.0,6.0,4.0,1.0,8.0,INDONESIA,,83.0,N. MOLUCCAS ISLANDS,1.0,126.25,4.0,7.0,1.0,,,,2.0,2.0
1890.0,7.0,11.0,3.0,1.0,7.2,IRAN,,40.0,CASPIAN SEA,36.6,54.6,0.92,2.0,0.6,,,,,
1891.0,1.0,15.0,3.0,1.0,7.2,ALGERIA,,50.0,SEA OF ALBORAN,36.5,1.8,0.92,1.0,0.6,,,,,
1891.0,6.0,10.0,3.0,0.0,7.2,INDONESIA,,83.0,N. MOLUCCAS ISLANDS,-0.5,127.5,0.92,1.0,0.6,,,,,
1891.0,6.0,20.0,3.0,0.0,7.2,INDONESIA,,83.0,BANDA SEA,-4.0,129.0,0.92,3.0,0.6,,,,,
1891.0,10.0,5.0,3.0,1.0,7.0,INDONESIA,,60.0,TIMOR SEA,-9.0,124.0,0.92,1.0,0.6,,,,,
1891.0,11.0,29.0,3.0,3.0,7.2,USA,WA,88.0,WASHINGTON,48.0,-123.5,2.44,3.0,1.3,,,,,
1892.0,5.0,16.0,4.0,1.0,7.5,USA TERRITORY,GU,81.0,"GUAM, MARIANA ISLANDS",14.0,143.3,0.92,1.0,0.6,,,,,
1892.0,5.0,17.0,3.0,1.0,7.2,INDONESIA,,60.0,NORTHEAST SUMATRA,2.5,99.5,0.92,6.0,0.6,,,,,
1892.0,6.0,7.0,4.0,6.0,7.2,INDONESIA,,83.0,"AWU VOLCANO, SANGIHE ISLAND",3.67,125.5,0.75,5.0,1.0,,,,1.0,
1892.0,8.0,30.0,3.0,6.0,7.2,TONGA,,81.0,TOFUA,-19.75,-175.07,0.92,2.0,0.6,,,,,
1892.0,11.0,18.0,3.0,1.0,7.0,INDONESIA,,83.0,SERAM ISLAND,-3.0,127.75,0.92,1.0,0.6,,,,,
1892.0,12.0,9.0,4.0,1.0,6.5,JAPAN,,85.0,SW. HONSHU ISLAND,37.0,136.8,0.92,2.0,0.6,,,,,
1893.0,2.0,9.0,4.0,1.0,6.5,GREECE,,50.0,SAMOTHRACE,40.5,25.5,1.0,2.0,0.6,,,,1.0,1.0
1893.0,4.0,17.0,3.0,1.0,6.4,GREECE,,50.0,IONIAN SEA,37.7,20.9,0.92,0.0,0.6,,,,,
1893.0,6.0,4.0,4.0,1.0,7.0,RUSSIA,,86.0,S. KURIL ISLANDS,43.3,147.5,2.5,3.0,1.6,,,,,
1893.0,6.0,13.0,4.0,1.0,6.9,JAPAN,,85.0,"NEMURO, JAPAN",42.5,145.5,0.92,1.0,0.6,,,,,
1894.0,3.0,22.0,4.0,1.0,7.9,JAPAN,,85.0,SE. HOKKAIDO ISLAND,42.5,146.0,4.0,20.0,2.0,,,,1.0,
1894.0,4.0,27.0,4.0,3.0,7.0,GREECE,,50.0,NORTH EVOIKOS GULF,38.7,23.1,3.0,2.0,1.6,,,,,
1894.0,7.0,10.0,4.0,1.0,6.7,TURKEY,,50.0,MARMARA SEA,40.6,28.7,4.5,3.0,0.6,,,,1.0,
1894.0,10.0,22.0,4.0,1.0,7.0,JAPAN,,85.0,"YAMAGATA, JAPAN",38.9,139.8,0.92,0.0,-1.0,,,,,
1894.0,11.0,28.0,3.0,8.0,7.2,USA,WA,88.0,"PUYALLUP RIVER DELTA, TACOMA, WA",47.286,-122.445,3.0,1.0,0.6,2.0,1.0,,1.0,
1895.0,3.0,6.0,4.0,1.0,7.3,PAPUA NEW GUINEA,,82.0,SOLOMON SEA,-8.4,150.1,6.0,6.0,2.6,,2.0,,2.0,2.0
1895.0,5.0,31.0,4.0,1.0,7.2,CHILE,,89.0,NORTHERN CHILE,-18.0,-71.0,0.92,17.0,0.6,,,,1.0,
1895.0,7.0,9.0,4.0,8.0,7.2,NEW ZEALAND,,81.0,PIEGON BAY,-43.688,172.9,5.0,0.0,0.6,,,,,
1895.0,8.0,18.0,4.0,3.0,6.0,NEW ZEALAND,,81.0,"LAKE TAUPO, NORTH ISLAND",-38.8,176.0,0.92,1.0,0.6,,,,,
1895.0,9.0,1.0,3.0,1.0,4.3,USA,NJ,75.0,"HIGH BRIDGE, NJ",40.667,-74.883,0.92,1.0,0.6,,,,,
1896.0,1.0,9.0,4.0,1.0,7.6,JAPAN,,85.0,"KASHIMA, JAPAN",36.5,141.0,0.25,6.0,0.6,,,,,
1896.0,6.0,15.0,4.0,1.0,8.3,JAPAN,,85.0,SANRIKU,39.5,144.0,38.2,75.0,5.2,27122.0,4.0,,4.0,4.0
1896.0,11.0,5.0,3.0,1.0,7.2,GREECE,,50.0,IONIAN SEA,,,0.92,0.0,0.6,,,,,
1896.0,1.0,1.0,4.0,1.0,7.2,ICELAND,,73.0,ICELAND,,,0.92,0.0,0.6,,,,,
1897.0,2.0,19.0,4.0,1.0,7.4,JAPAN,,85.0,SANRIKU,38.1,141.9,1.0,2.0,0.6,,,,,
1897.0,3.0,26.0,3.0,6.0,7.2,SOLOMON ISLANDS,,82.0,"TINAKULA, SANTA CRUZ ISLANDS",-10.38,165.8,0.92,1.0,0.6,,,,1.0,1.0
1897.0,8.0,5.0,4.0,1.0,7.7,JAPAN,,85.0,SANRIKU,38.0,143.7,3.6,37.0,1.5,,,,1.0,
1897.0,9.0,21.0,4.0,1.0,8.7,PHILIPPINES,,84.0,SULU SEA,6.0,122.0,7.0,13.0,2.6,13.0,1.0,,1.0,1.0
1897.0,10.0,18.0,3.0,1.0,8.1,PHILIPPINES,,84.0,SAMAR ISLAND,12.0,126.0,0.92,2.0,0.6,,1.0,,1.0,
1898.0,4.0,22.0,4.0,1.0,7.2,JAPAN,,85.0,HONSHU ISLAND,38.6,142.0,0.1,2.0,0.6,,,,,
1898.0,12.0,3.0,3.0,1.0,7.2,GREECE,,50.0,IONIAN ISLANDS,37.75,21.0,0.4,1.0,0.6,,,,,
1899.0,1.0,15.0,3.0,1.0,7.2,PAPUA NEW GUINEA,,82.0,"EAST COAST, NEW IRELAND",-3.0,152.0,0.92,13.0,0.6,,,,2.0,3.0
1899.0,1.0,22.0,3.0,1.0,6.6,GREECE,,50.0,IONIAN SEA,37.2,21.6,1.0,2.0,0.6,,,,,
1899.0,9.0,4.0,4.0,1.0,8.2,USA,AK,87.0,"CAPE YAKATAGA, AK",60.0,-142.0,3.1,4.0,0.6,,,,1.0,
1899.0,9.0,10.0,4.0,3.0,8.2,USA,AK,87.0,"YAKUTAT BAY, AK",60.0,-140.0,60.96,12.0,5.9,,,,3.0,
1899.0,9.0,29.0,4.0,3.0,7.8,INDONESIA,,83.0,BANDA SEA,-3.0,128.5,12.0,10.0,3.6,2460.0,4.0,,3.0,
1899.0,11.0,24.0,4.0,1.0,7.1,JAPAN,,85.0,SEIKAIDO,31.9,132.0,0.3,1.0,-1.7,,,,,
1899.0,11.0,25.0,4.0,1.0,6.9,JAPAN,,85.0,SEIKAIDO,32.7,132.3,0.92,1.0,-1.0,,,,,
1899.0,1.0,1.0,3.0,0.0,7.2,VIETNAM,,84.0,NORTH CENTRAL VIETNAM,19.0,106.0,3.0,1.0,0.6,,,,1.0,
1900.0,1.0,20.0,3.0,1.0,7.3,MEXICO,,88.0,MEXICO,20.0,-105.0,0.92,0.0,0.6,,1.0,,1.0,
1900.0,5.0,16.0,3.0,1.0,6.9,MEXICO,,88.0,MEXICO,20.0,-105.0,0.92,2.0,0.6,,1.0,,1.0,
1900.0,8.0,11.0,4.0,3.0,7.2,USA,AK,87.0,"LITUYA BAY, AK",58.6,-137.5,0.92,1.0,0.6,5.0,1.0,,1.0,
1900.0,9.0,10.0,4.0,1.0,6.8,PAPUA NEW GUINEA,,82.0,BISMARCK SEA,-4.0,152.0,0.92,3.0,0.6,,,,,
1900.0,9.0,17.0,3.0,1.0,7.1,PAPUA NEW GUINEA,,82.0,RABAUL HARBOR,-5.0,148.0,3.0,1.0,0.6,,,,,
1900.0,10.0,7.0,3.0,1.0,6.9,INDONESIA,,83.0,BISMARCK SEA,-4.0,140.0,0.92,4.0,1.0,5.0,1.0,,1.0,1.0
1900.0,10.0,29.0,3.0,1.0,7.7,VENEZUELA,,74.0,MANCUTO,11.0,-66.0,10.0,5.0,0.6,,,,1.0,1.0
1901.0,3.0,3.0,3.0,3.0,6.7,USA,CA,88.0,"MONTEREY BAY, N. CALIFORNIA",36.0,-120.5,0.92,1.0,0.6,,,,,
1901.0,3.0,31.0,3.0,1.0,7.2,BULGARIA,,40.0,BLACK SEA,43.4,28.5,3.0,1.0,0.6,,,,,
1901.0,6.0,15.0,4.0,1.0,6.0,JAPAN,,85.0,"IWATE, JAPAN",39.0,143.0,0.92,0.0,0.6,,,,,
1901.0,6.0,24.0,4.0,1.0,7.5,JAPAN,,85.0,RYUKYU ISLANDS,28.0,130.3,0.25,4.0,-2.3,,,,1.0,
1901.0,8.0,9.0,4.0,1.0,7.2,JAPAN,,85.0,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.6,3.0,0.0,,,,,
1901.0,8.0,9.0,4.0,1.0,7.9,NEW CALEDONIA,,82.0,LOYALTY ISLANDS,-22.0,170.0,1.2,10.0,-0.7,,1.0,,2.0,
1901.0,8.0,9.0,4.0,1.0,7.4,JAPAN,,85.0,OFF NORTHEAST COAST HONSHU,40.6,142.3,0.25,2.0,-1.0,,,,,
1901.0,8.0,9.0,4.0,1.0,6.3,JAPAN,,85.0,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.02,1.0,-1.0,,,,,
1901.0,10.0,8.0,3.0,1.0,7.0,NICARAGUA,,88.0,NICARAGUA,11.0,-86.5,1.5,1.0,0.6,,,,,
1902.0,2.0,26.0,3.0,1.0,7.0,EL SALVADOR,,88.0,EL SALVADOR-GUATEMALA,13.5,-89.5,0.92,4.0,2.3,185.0,3.0,,3.0,
1902.0,5.0,5.0,4.0,7.0,7.2,MARTINIQUE (FRENCH TERRITORY),,74.0,MOUNT PELEE,14.82,-61.17,5.0,1.0,0.6,,,,,
1902.0,5.0,7.0,4.0,6.0,7.2,SAINT VINCENT AND THE GRENADINES,,74.0,SOUFRIERE VOLCANO,13.33,-61.18,1.0,3.0,0.6,,,,,
1902.0,7.0,5.0,3.0,1.0,6.6,GREECE,,50.0,AEGEAN SEA,40.75,23.25,0.92,1.0,0.6,,,,,
1902.0,8.0,30.0,4.0,6.0,7.2,MARTINIQUE (FRENCH TERRITORY),,74.0,MOUNT PELEE,14.82,-61.17,1.0,1.0,0.6,,,,,
1903.0,10.0,20.0,3.0,0.0,7.2,CANADA,,72.0,"BLACKLEAD ISLAND, CUMBERLAND SOUND",64.98,-66.2,0.92,1.0,0.6,,,,,
1903.0,11.0,24.0,4.0,9.0,7.2,USA,HI,80.0,HAWAII,,,0.92,1.0,0.6,,,,,
1903.0,12.0,7.0,3.0,1.0,6.5,CHILE,,89.0,NORTHERN CHILE,-28.5,-71.0,0.92,1.0,0.6,,,,,
1904.0,6.0,25.0,4.0,1.0,8.3,RUSSIA,,86.0,"KAMCHATKA PENINSULA, RUSSIA",52.0,159.0,0.92,1.0,1.0,,,,,
1904.0,6.0,25.0,3.0,1.0,8.1,RUSSIA,,86.0,"KAMCHATKA PENINSULA, RUSSIA",52.0,159.0,0.92,0.0,1.0,,,,,
1905.0,1.0,20.0,3.0,1.0,6.8,COSTA RICA,,88.0,GULF OF NICOYA,9.85,-84.68,0.92,1.0,0.6,,,,,
1905.0,7.0,4.0,4.0,8.0,7.2,USA,AK,87.0,"DISENCHANTMENT BAY, AK",60.0,-139.58,33.53,4.0,5.1,,,,,
1905.0,7.0,6.0,3.0,1.0,7.0,JAPAN,,85.0,JAPAN:  OFF FUKUSHIMA,37.4,142.6,0.92,1.0,-1.0,57.0,2.0,,,
1905.0,9.0,8.0,4.0,1.0,7.1,ITALY,,50.0,TYRRHENIAN CALABRIA,38.67,16.07,1.3,0.0,0.6,,,,,
